State,Urban_Percentage,Total_Population,Housing_Units,Population_Half,Low_Income_Half,Vehicle_Half,Population_1,Low_Income_1,Vehicle_1,Median_Family_Income,Population_Half_Percent,Low_Income_Half_Percent,Vehicle_Half_Percent,Population_1_Percent,Low_Income_1_Percent,Vehicle_1_Percent
Alabama,54.66893039049236,4779736,1883791,4097447.0,1553294.0,95414.0,2935582.0,1073134.0,58528.0,59814.49271636675,85.72538315923724,32.49748521675674,1.996219038038921,61.41724145433973,22.451742104584856,1.22450277588553
Alaska,50.29940119760479,710231,258058,571016.0,143243.0,18020.0,383330.0,98217.0,12859.0,87459.4606060606,80.3986308679852,20.1685085556671,2.5372026847603104,53.97258075189622,13.828881026032375,1.8105376982981596
Arizona,85.0,6392017,2380990,4543901.0,1553289.0,91538.0,2269693.0,744272.0,37619.0,69963.00597213006,71.08712320383378,24.300451641477174,1.4320675304837267,35.50824411136579,11.64377378846145,0.5885309754338888
Arkansas,48.8338192419825,2915918,1147084,2496017.0,1005188.0,59929.0,1774428.0,684193.0,35393.0,56778.25844346549,85.59969793389251,34.47243715358251,2.0552361211803625,60.853151563246975,23.464068605495765,1.2137858472014647
California,91.63758723828516,37253956,12577498,19007542.0,5505259.0,301830.0,6882412.0,1810949.0,78700.0,88387.66578483245,51.021539833246166,14.777649385745772,0.8101958353094099,18.474311828789407,4.8610917992172435,0.2112527324614868
Colorado,78.66344605475041,5029196,1972868,3623972.0,906289.0,54706.0,1731172.0,396228.0,18756.0,86548.93577235773,72.05867498502742,18.020554378870898,1.087768303323235,34.42244048551697,7.878555538499593,0.3729423152328921
Connecticut,85.26570048309179,3574097,1371087,2636731.0,500781.0,60630.0,1498221.0,210213.0,20516.0,100079.49756690998,73.77334750567766,14.011399242941645,1.696372538294288,41.918867898660835,5.881569526512571,0.5740191158773811
Delaware,79.43925233644859,897934,342297,682962.0,173483.0,13469.0,410217.0,100307.0,6263.0,80919.78504672897,76.0592649348393,19.320239572173456,1.4999988863324032,45.684538061817456,11.1708655647297,0.6974900159699933
District of Columbia,100.0,601723,266707,196290.0,66866.0,23539.0,27650.0,9661.0,2770.0,119155.76878612716,32.621322435738705,11.112422161027583,3.9119328993573452,4.595137629773168,1.6055560448910877,0.4603447101074747
Florida,86.72883787661407,18801310,7420802,13160276.0,4379650.0,274913.0,6571917.0,2070315.0,104091.0,68329.02990834539,69.99659066309741,23.294387465554262,1.4622013040580684,34.954569654986805,11.011546535853087,0.5536369540207571
Georgia,67.39908022483392,9687653,3585584,8002291.0,2841822.0,175943.0,5306219.0,1814602.0,93379.0,68388.55475578406,82.60298959923523,29.334473478767254,1.816157122886214,54.77300848822723,18.731079653658114,0.9638970347100583
Hawaii,84.11214953271028,1360301,455338,864637.0,186753.0,12932.0,505567.0,116837.0,6897.0,93827.15210355989,63.562182193499815,13.728799728883534,0.9506719468705823,37.16581844753477,8.589054922403204,0.5070201374548721
Idaho,57.04697986577181,1567582,579408,1222049.0,421336.0,14668.0,759983.0,244648.0,6956.0,64366.37919463087,77.95758052848272,26.878083570747812,0.9357086264067844,48.481227776282196,15.606711483035657,0.4437407421110985
Illinois,84.23756019261637,12830632,4836972,8047025.0,2156820.0,205958.0,4024103.0,956538.0,69252.0,81657.72107304461,62.717292491905305,16.809927991076357,1.6052054177845645,31.363248513401366,7.455112109832158,0.5397395857039622
Indiana,69.21035169210353,6483802,2502154,5336466.0,1669393.0,118744.0,3552499.0,995662.0,63883.0,64858.94839142091,82.30457993627813,25.74713108142414,1.8313946045853962,54.790368367201836,15.356144435008964,0.9852706791478211
Iowa,55.77156743620899,3046355,1221576,2294135.0,626763.0,44066.0,1394763.0,349553.0,20111.0,72279.74299634591,75.30753966625689,20.574194406101718,1.4465155899427349,45.78465083681974,11.474467026987991,0.6601660016642841
Kansas,66.31853785900783,2853118,1112096,2190503.0,658541.0,42872.0,1248091.0,357979.0,20480.0,71610.10052910053,76.77575901171981,23.081449838387336,1.5026367644100245,43.74480831146836,12.546939874200785,0.7178111806101255
Kentucky,50.27027027027027,4339367,1719965,3613932.0,1358734.0,98438.0,2531898.0,943326.0,58269.0,61575.99727272728,83.28246953991216,31.311801928714488,2.268487546685957,58.34717367763547,21.73879277784064,1.3427995373518764
Louisiana,72.27635075287864,4533372,1728360,3533298.0,1395028.0,99428.0,2267782.0,876331.0,55146.0,61057.29364368845,77.9397322787541,30.772413999998232,2.193245998784128,50.024176264378916,19.330666003142916,1.2164455067883244
Maine,30.1994301994302,1328361,557219,1095549.0,315156.0,25108.0,865037.0,240441.0,15667.0,68744.67236467237,82.47374019562453,23.725177116762687,1.8901488375524425,65.12062609486428,18.10057657519304,1.1794233645823686
Maryland,84.96402877697842,5773552,2156411,4007560.0,790985.0,95697.0,2045346.0,333298.0,29043.0,100138.88816267248,69.41238253331744,13.70014507533664,1.6575065055272735,35.42612935676339,5.772841398154896,0.5030352199131487
Massachusetts,89.70688479890934,6547629,2547075,4343214.0,804271.0,119441.0,2352256.0,333689.0,36638.0,100561.49240331491,66.33262208350534,12.283392965606328,1.824187045417509,35.92530975716553,5.0963333444824075,0.5595613312849582
Michigan,72.82293178519593,9883640,3872508,7623844.0,2334640.0,195986.0,4586209.0,1257689.0,84364.0,69298.43800738007,77.13599443120145,23.62125694582158,1.9829334131959482,46.40202395069023,12.724957606711698,0.8535721657203217
Minnesota,67.99100449775113,5303925,2087227,4086380.0,918750.0,81617.0,2542048.0,523859.0,36969.0,85821.10708898945,77.04445292872731,17.322077518064454,1.538803810385705,47.92767620205791,9.876817639766776,0.697012118384027
Mississippi,49.92412746585736,2967297,1115768,2629199.0,1135990.0,61704.0,2037963.0,854012.0,42540.0,52971.84403669725,88.60585913712042,38.28366354968849,2.079468283761282,68.68078928398472,28.780806235439186,1.4336279785946604
Missouri,66.93026599568655,5988927,2375611,4704089.0,1515308.0,111091.0,2911826.0,898599.0,50627.0,67947.3502170767,78.54644078981093,25.301827856642767,1.8549399583598198,48.62016184201276,15.004340510411964,0.8453434146049867
Montana,40.59040590405904,989415,409607,748668.0,233706.0,12216.0,510680.0,150794.0,5984.0,66368.51672862454,75.6677430602932,23.62062430830339,1.234668971058656,51.614337765245125,15.240723053521526,0.6048018273424195
Nebraska,65.78947368421053,1826341,721130,1317439.0,363935.0,23564.0,681722.0,169161.0,8594.0,74635.61333333333,72.1354336347922,19.927001584041534,1.290230028236786,37.327202313259136,9.262290010463545,0.4705583458948794
Nevada,89.55882352941177,2700551,1006250,1702391.0,512615.0,40612.0,748846.0,198838.0,11028.0,70147.49630723782,63.038653963580025,18.98186703380162,1.5038412531368597,27.729378189858288,7.362867799941568,0.4083611085293335
New Hampshire,52.73972602739726,1316470,518973,1117073.0,206135.0,18060.0,858581.0,143330.0,11251.0,91380.941580756,84.85366168617591,15.65816159882109,1.3718504789322963,65.2184250305742,10.887449011371318,0.8546339833038352
New Jersey,92.5074925074925,8791894,3214360,5270456.0,921798.0,123334.0,2641433.0,402206.0,45141.0,99986.8777665996,59.94676459930022,10.48463505133251,1.4028149110987918,30.04395867375107,4.57473668358604,0.5134388562919434
New Mexico,69.07630522088354,2059179,791395,1597065.0,647078.0,30559.0,1013212.0,409905.0,15813.0,60962.80452674897,77.5583375704589,31.424077265745233,1.4840380559436552,49.20465874991927,19.90623447500193,0.7679274118471487
New York,85.91375770020534,19378102,7317755,8204289.0,1936663.0,237812.0,4539897.0,1027781.0,94676.0,86280.34535542042,42.337938978750344,9.99407991556655,1.2272202922659814,23.427975557152088,5.303826969225366,0.48857210061129824
North Carolina,62.06896551724138,9535483,3745155,7898390.0,2813024.0,168561.0,5330388.0,1872217.0,93571.0,67983.92585727526,82.831567105725,29.500592681041958,1.7677237744537955,55.90055585018609,19.634212551162854,0.9812927148000787
North Dakota,42.4390243902439,672591,281192,497244.0,127947.0,8365.0,295484.0,70648.0,3325.0,80721.69268292683,73.92962439283309,19.02300209191024,1.2436978788000435,43.93219653548739,10.503857470587622,0.4943568974309796
Ohio,77.57390417940877,11536504,4603435,8921811.0,2697221.0,245317.0,5323159.0,1429544.0,111243.0,67608.12889955434,77.33548222234397,23.379881808215035,2.1264414245424783,46.141872789191595,12.391483589829292,0.9642695915504386
Oklahoma,64.43594646271511,3751351,1460450,2968385.0,1086761.0,59477.0,1908973.0,658290.0,30643.0,63244.9083011583,79.12842599906007,28.96985645971278,1.585482136968788,50.88761355575632,17.548078012428057,0.8168523819818514
Oregon,72.27602905569007,3831074,1518938,2538759.0,766560.0,50324.0,1291884.0,368685.0,17811.0,76343.50364963504,66.26755317177377,20.009010528118225,1.3135742092165277,33.721196719248965,9.623541596951664,0.46490879581026107
Pennsylvania,76.63551401869158,12702379,5018904,8993338.0,2308945.0,268047.0,5419652.0,1265323.0,114636.0,76673.99431997475,70.8004225035326,18.17726427466855,2.110211008504785,42.66643279971413,9.961307248035977,0.9024766148136503
Rhode Island,90.04149377593362,1052567,413600,727225.0,175836.0,21231.0,343253.0,60912.0,6419.0,82367.94117647059,69.09061370915106,16.70544487904333,2.017068747167639,32.611035687039404,5.786995032145223,0.6098424138320886
South Carolina,60.03666361136572,4625364,1801181,3963572.0,1465970.0,96101.0,2817258.0,1043424.0,60621.0,63527.84074074074,85.6921098534083,31.694154233050632,2.077695939173652,60.90889279200513,22.558743484837084,1.3106211748956407
South Dakota,41.891891891891895,814180,322282,644381.0,198587.0,11503.0,430467.0,126476.0,6116.0,70105.83105022831,79.14478370876219,24.391043749539413,1.4128325431722715,52.871232405610556,15.534157066005061,0.7511852415927681
Tennessee,59.90597716588314,6346105,2493552,5367311.0,1923854.0,113919.0,3750042.0,1269324.0,63451.0,63720.76125511596,84.57646067942463,30.31550848906534,1.7951010895659623,59.092025738622354,20.00162304279554,0.9998416351447069
Texas,78.19778541428026,25145561,8922933,18569856.0,6414876.0,315211.0,9967980.0,3280345.0,135150.0,72368.97397339503,73.84944006618106,25.5109679199442,1.2535453076588745,39.64111200382445,13.045423802634588,0.5374706096237026
Utah,85.12820512820512,2763885,877692,1976267.0,527408.0,20969.0,891441.0,218115.0,6625.0,79321.90222984563,71.50322824574829,19.0821253416839,0.7586784544219459,32.253187089911485,7.891609093721338,0.2396988297269966
Vermont,27.322404371584703,625741,256442,516438.0,136980.0,10643.0,402568.0,101082.0,6642.0,76336.6978021978,82.53222978836293,21.890846212730185,1.7008634562862268,64.33460489243953,16.15396785571027,1.061461531208599
Virginia,72.58748674443267,8001024,3056058,5901333.0,1500058.0,121603.0,3414621.0,866518.0,60095.0,92693.32616872647,73.75722157563833,18.74832521437256,1.519842960101107,42.67729980562488,10.830088748640174,0.7510913603058809
Washington,77.57785467128028,6724540,2620076,4726080.0,1170239.0,76709.0,2594276.0,602304.0,27886.0,87236.6574009729,70.28108985893459,17.4025137778941,1.14073230287871,38.579233672489124,8.956805967397026,0.4146900754549754
West Virginia,44.83471074380165,1852994,763831,1581105.0,607869.0,50921.0,1228503.0,463653.0,33739.0,57264.02291666667,85.32704369253219,32.80469337731261,2.748039119392723,66.29827187783663,25.02182953641512,1.8207830138683667
Wisconsin,66.59482758620689,5686986,2279768,4349324.0,1127191.0,93641.0,2686562.0,611537.0,40393.0,73470.81548480463,76.47854241244835,19.820534110687102,1.6465839725998972,47.240524242542534,10.753270713168629,0.7102707831529742
Wyoming,52.67175572519084,563626,226879,466540.0,126209.0,6452.0,319058.0,82997.0,3930.0,76571.96183206108,82.77474779374975,22.392331084797366,1.1447307256939887,56.60810537484077,14.7255449535685,0.697270885303375
